02-00,02-01,02-02,02-03,02-05,02-06,02-07
1,72,4507655320267058,481452296,2025-04-17 08:45:30,debit,150000000
2,261,4606976379177069,223905016,2025-03-09 16:45:30,credit,150000000
3,121,4122252089679808,204968874,2025-04-17 05:45:30,debit,150000000
4,589,4991818931277774,424091361,2025-02-22 23:45:30,debit,150000000
5,569,4414532013528856,470180344,2025-04-16 04:45:30,savings,150000000
6,413,4229009467666102,474950283,2025-02-13 07:45:30,savings,150000000
7,488,4425508572253959,37122086,2025-03-28 01:45:30,savings,150000000
8,110,4389912129416991,39245392,2025-02-15 01:45:30,credit,150000000
9,338,4735770101980131,270388327,2025-02-09 03:45:30,savings,150000000
10,122,4161512905416297,382784336,2025-04-23 17:45:30,debit,150000000
11,107,4751755514454167,3722283,2025-04-18 23:45:30,debit,150000000
12,394,4246660933365135,468273924,2025-03-13 19:45:30,credit,150000000
13,552,4517135474135101,467747960,2025-03-17 22:45:30,debit,150000000
14,440,4426690964983831,8393413,2025-03-23 02:45:30,savings,150000000
15,305,4526656378393982,133879266,2025-02-22 00:45:30,savings,150000000
16,379,4519069729482632,461519859,2025-03-18 05:45:30,credit,150000000
17,433,4795373200447867,429662238,2025-04-04 21:45:30,savings,150000000
18,205,4508208934910887,440389533,2025-02-14 16:45:30,savings,150000000
19,531,4005161413477736,2992647,2025-05-05 06:45:30,savings,150000000
20,383,4908793144288725,419681837,2025-03-04 05:45:30,credit,150000000
21,219,4848974800615881,322195720,2025-02-16 22:45:30,savings,150000000
22,318,4982670123267983,463937598,2025-04-29 10:45:30,savings,150000000
23,348,4177945073059760,314989021,2025-03-23 17:45:30,credit,150000000
24,404,4325196327775058,191808580,2025-04-26 07:45:30,savings,150000000
25,523,4325956178012155,27077151,2025-04-03 04:45:30,savings,150000000
26,575,4252441770948837,445453661,2025-03-13 16:45:30,credit,150000000
27,503,4740329279428680,432722431,2025-02-09 09:45:30,credit,150000000
28,87,4251272306026353,97957599,2025-02-06 07:45:30,credit,150000000
29,179,4326974451917255,145699719,2025-02-27 07:45:30,debit,150000000
30,80,4931445286552209,279066989,2025-04-24 19:45:30,savings,150000000
31,373,4701722507128062,471119229,2025-02-09 08:45:30,credit,150000000
32,469,4720342826208663,246894345,2025-04-29 12:45:30,debit,150000000
33,547,4811547533779635,77363785,2025-04-20 15:45:30,credit,150000000
34,246,4863853110490800,37033577,2025-03-08 09:45:30,debit,150000000
35,588,4886655750804173,468863821,2025-04-08 18:45:30,debit,150000000
36,592,4724538598703513,308075329,2025-04-23 21:45:30,credit,150000000
37,352,4708899774351972,59903135,2025-02-20 10:45:30,savings,150000000
38,11,4382111444670783,169231866,2025-04-19 13:45:30,credit,150000000
39,600,4348135039729812,499796189,2025-02-25 21:45:30,credit,150000000
40,327,4585609579385888,335690238,2025-02-05 16:45:30,credit,150000000
41,285,4883632733626186,294692499,2025-04-26 18:45:30,credit,150000000
42,200,4065842205071859,483563743,2025-05-05 02:45:30,debit,150000000
43,187,4514781542428889,216243435,2025-02-17 05:45:30,credit,150000000
44,548,4054443962109837,284915259,2025-02-25 23:45:30,credit,150000000
45,451,4204916291692411,40377200,2025-03-31 07:45:30,savings,150000000
46,314,4457601806836638,207902579,2025-04-14 23:45:30,debit,150000000
47,64,4502982361928515,412897310,2025-03-03 20:45:30,savings,150000000
48,395,4975333369298187,204944995,2025-04-11 08:45:30,debit,150000000
49,541,4949663896290792,173034553,2025-05-05 20:45:30,credit,150000000
50,575,4552183479020125,73621062,2025-03-30 12:45:30,debit,150000000
51,414,4025371006393792,183342204,2025-03-12 15:45:30,savings,150000000
52,467,4129535477076628,320390054,2025-04-24 03:45:30,savings,150000000
53,78,4974288314962079,158051076,2025-04-08 11:45:30,savings,150000000
54,297,4443049785162348,164777446,2025-02-14 21:45:30,credit,150000000
55,134,4217484310023744,177149383,2025-02-15 22:45:30,debit,150000000
56,264,4590679490866677,439174434,2025-03-17 21:45:30,savings,150000000
57,87,4927616309590412,308892250,2025-04-01 03:45:30,credit,150000000
58,124,4315883745401669,208526341,2025-04-15 11:45:30,credit,150000000
59,273,4051473945061320,82241419,2025-03-23 01:45:30,debit,150000000
60,324,4090560773351519,348253371,2025-03-27 22:45:30,debit,150000000
61,536,4084678468683229,117514201,2025-03-13 10:45:30,debit,150000000
62,25,4273517521752019,33016192,2025-03-17 11:45:30,debit,150000000
63,349,4569294312875816,157570986,2025-02-14 06:45:30,credit,150000000
64,223,4224635599978252,301840379,2025-02-16 23:45:30,debit,150000000
65,242,4270251036297291,437743557,2025-03-14 14:45:30,credit,150000000
66,78,4557729872230931,137713551,2025-03-31 01:45:30,debit,150000000
67,372,4594566892772736,267758452,2025-02-04 11:45:30,savings,150000000
68,84,4741608922404638,131931815,2025-03-25 06:45:30,debit,150000000
69,474,4769414497480573,197147494,2025-02-05 00:45:30,debit,150000000
70,163,4953604362256070,87817066,2025-04-04 04:45:30,credit,150000000
71,584,4878844443092572,409239364,2025-03-25 21:45:30,credit,150000000
72,35,4473449427296035,70550148,2025-02-18 06:45:30,debit,150000000
73,231,4735946497845876,77451180,2025-03-11 09:45:30,savings,150000000
74,586,4603037843653778,100690975,2025-05-02 01:45:30,debit,150000000
75,171,4162081434510945,92876507,2025-03-15 20:45:30,savings,150000000
76,391,4476590653532648,433802707,2025-03-12 12:45:30,savings,150000000
77,563,4337912749759098,356563518,2025-05-03 06:45:30,savings,150000000
78,7,4143545960987551,460113730,2025-02-11 09:45:30,savings,150000000
79,83,4444765720867482,159198748,2025-02-09 04:45:30,debit,150000000
80,496,4004810771162425,358931649,2025-04-20 07:45:30,credit,150000000
81,5,4574899091320710,371941142,2025-03-16 03:45:30,savings,150000000
82,199,4132233789509798,98449406,2025-04-07 20:45:30,savings,150000000
83,367,4828887719816672,362105932,2025-02-06 20:45:30,savings,150000000
84,137,4893811314645578,193541103,2025-04-13 09:45:30,savings,150000000
85,383,4264766346133169,10701961,2025-04-29 01:45:30,credit,150000000
86,358,4234309137069317,176504970,2025-03-29 10:45:30,debit,150000000
87,25,4840812257210898,414242355,2025-03-27 16:45:30,debit,150000000
88,239,4377749760330840,230034958,2025-02-14 09:45:30,credit,150000000
89,57,4497169967338554,142661467,2025-03-24 01:45:30,savings,150000000
90,595,4100628032029889,70907955,2025-02-08 14:45:30,savings,150000000
91,166,4033109117160031,440669928,2025-05-05 12:45:30,savings,150000000
92,129,4742940511161948,289156048,2025-03-25 10:45:30,credit,150000000
93,35,4133831775157215,207740400,2025-02-24 21:45:30,credit,150000000
94,104,4071226302507296,259909256,2025-03-10 08:45:30,debit,150000000
95,502,4655685099596649,379791082,2025-04-11 22:45:30,credit,150000000
96,179,4595037232425541,119382574,2025-02-17 01:45:30,credit,150000000
97,258,4148231448278161,176682649,2025-03-18 23:45:30,debit,150000000
98,135,4555620418361459,215001788,2025-03-11 20:45:30,savings,150000000
99,231,4621583388503712,367781206,2025-03-27 07:45:30,savings,150000000
100,285,4222287024957272,302052930,2025-04-24 22:45:30,debit,150000000
101,337,4493039940332081,23122737,2025-04-23 16:45:30,debit,150000000
102,148,4273592168569479,462937980,2025-02-23 00:45:30,savings,150000000
103,280,4583222155807321,351896285,2025-02-11 17:45:30,savings,150000000
104,143,4665240577086735,465695343,2025-03-31 06:45:30,credit,150000000
105,437,4951948905319711,197604490,2025-05-01 03:45:30,debit,150000000
106,524,4967886722121908,259397591,2025-03-11 13:45:30,credit,150000000
107,164,4795846288401486,364114295,2025-03-02 00:45:30,debit,150000000
108,573,4256582793675307,392293350,2025-03-06 01:45:30,savings,150000000
109,495,4884062971633650,335634012,2025-02-23 01:45:30,savings,150000000
